식당명,주소,위도,경도,거리(km),"{ name: '식당명', address: '주소', latitude: 위도, longitude: 경도, distance: 거리(km) },",,,,,
지구마을,경기도 성남시 수정구 시흥동 298 한국국제협력단 본관 1층 일부호,37.41504641,127.0993841,0.1,"{ name: '지구마을', address: '경기도 성남시 수정구 시흥동 298 한국국제협력단 본관 1층 일부호', latitude: 37.41504641, longitude: 127.0993841, distance: 0.1 },",,,,,
북창동순두부 판교파미어스몰점,경기도 성남시 수정구 시흥동 322 2층 209호 ,37.41340786,127.0983592,0.26,"{ name: '북창동순두부 판교파미어스몰점', address: '경기도 성남시 수정구 시흥동 322 2층 209호 ', latitude: 37.41340786, longitude: 127.0983592, distance: 0.26 },",,,,,
시먼당 파미어스몰,경기도 성남시 수정구 시흥동 322 판교아이스퀘어 2층 201-3호 ,37.41340786,127.0983592,0.26,"{ name: '시먼당 파미어스몰', address: '경기도 성남시 수정구 시흥동 322 판교아이스퀘어 2층 201-3호 ', latitude: 37.41340786, longitude: 127.0983592, distance: 0.26 },",,,,,
청담식당,"경기도 성남시 수정구 시흥동 248-8 MHY, 1층 ",37.41530973,127.1017639,0.28,"{ name: '청담식당', address: '경기도 성남시 수정구 시흥동 248-8 MHY, 1층 ', latitude: 37.41530973, longitude: 127.1017639, distance: 0.28 },",,,,,
짬뽕지존 판교점,경기도 성남시 수정구 시흥동 272-5 1층 ,37.41438124,127.1014436,0.29,"{ name: '짬뽕지존 판교점', address: '경기도 성남시 수정구 시흥동 272-5 1층 ', latitude: 37.41438124, longitude: 127.1014436, distance: 0.29 },",,,,,
어머니밥상,경기도 성남시 수정구 시흥동 272-7 1층일부호,37.41387148,127.1010811,0.3,"{ name: '어머니밥상', address: '경기도 성남시 수정구 시흥동 272-7 1층일부호', latitude: 37.41387148, longitude: 127.1010811, distance: 0.3 },",,,,,
감포회플러스,경기도 성남시 수정구 시흥동 246-28 1층 일부 ,37.41637361,127.102022,0.31,"{ name: '감포회플러스', address: '경기도 성남시 수정구 시흥동 246-28 1층 일부 ', latitude: 37.41637361, longitude: 127.102022, distance: 0.31 },",,,,,
탐앤탐스 세종연구소입구점,경기도 성남시 수정구 시흥동 246-7 1층(일부) ,37.41638864,127.1021476,0.32,"{ name: '탐앤탐스 세종연구소입구점', address: '경기도 성남시 수정구 시흥동 246-7 1층(일부) ', latitude: 37.41638864, longitude: 127.1021476, distance: 0.32 },",,,,,
리드푸드,경기도 성남시 수정구 시흥동 280-4 지하2층(일부) ,37.41300286,127.1004949,0.34,"{ name: '리드푸드', address: '경기도 성남시 수정구 시흥동 280-4 지하2층(일부) ', latitude: 37.41300286, longitude: 127.1004949, distance: 0.34 },",,,,,
정원식당,경기도 성남시 수정구 시흥동 280-4 B107호 ,37.41300286,127.1004949,0.34,"{ name: '정원식당', address: '경기도 성남시 수정구 시흥동 280-4 B107호 ', latitude: 37.41300286, longitude: 127.1004949, distance: 0.34 },",,,,,
